BẢNG TỌA ĐỘ 19 TRUNG TÂM - CÔNG TY CP GIONG VIỆT NAM

STT	Tên Trung tâm	Cụm	Vĩ độ	Kinh độ
0	Văn phòng	Long Biên	21,04743328	105,8779599
1	Ngọc Lâm	Long Biên	21,04743328	105,8779599
2	Long Biên	Long Biên	21,06274423	105,8968746
3	Sài Đồng	Long Biên	21,0358392	105,9102846
4	Từ Sơn	Từ Sơn	21,10976037	105,9593491
5	Hương Mạc	Từ Sơn	21,16045513	105,9289508
6	Tiên Du	Từ Sơn	21,09928551	105,9840983
7	Mê Linh	Mê Linh	21,2028488	105,7020303
8	Tiền Phong	Mê Linh	21,15415979	105,7609146
9	Phúc Yên	Mê Linh	21,23089637	105,6930474
10	Chi Đông	Mê Linh	21,20798773	105,7530976
11	Thạch Đà	Mê Linh	21,17857716	105,6777402
12	Tâm An	Mê Linh	21,11133274	105,7896167
13	Liên Mạc	Mê Linh	21,19099974	105,6448128
14	Đồng Xuân	Mê Linh	21,27740272	105,729285
15	Bích Hòa	Thanh Oai	20,91020398	105,7607489
16	Thanh Oai	Thanh Oai	20,86523846	105,7607695
17	Thanh Thùy	Thanh Oai	20,87130648	105,8052789
18	Quốc Oai	Thanh Oai	20,96891206	105,681553
19	Đông Yên	Thanh Oai	20,926094313766257	105,59689423171851
